date,year,triggered_events,estimated_payout_usd,payout_tier,trigger_type
2019-04-01,2019,flood,75,standard,flood
2019-04-01,2019,crop_failure,90,standard,crop_failure
2019-04-01,2019,crop_failure,90,standard,crop_failure
2019-04-01,2019,severe_stress,45,standard,severe_stress
2019-05-01,2019,flood,75,standard,flood
2019-05-01,2019,crop_failure,90,standard,crop_failure
2019-05-01,2019,severe_stress,45,standard,severe_stress
2019-06-01,2019,flood,75,standard,flood
2019-06-01,2019,flood,75,standard,flood
2019-09-01,2019,crop_failure,90,standard,crop_failure
2019-10-01,2019,flood,75,standard,flood
2019-11-01,2019,flood,75,standard,flood
2019-12-01,2019,flood,75,standard,flood
2019-12-01,2019,flood,75,standard,flood
2020-01-01,2020,flood,75,standard,flood
2020-01-01,2020,flood,75,standard,flood
2020-01-01,2020,flood,75,standard,flood
2020-03-01,2020,flood,75,standard,flood
2020-03-01,2020,flood,75,standard,flood
2020-03-01,2020,flood,75,standard,flood
2020-03-01,2020,flood,75,standard,flood
2020-03-01,2020,flood,75,standard,flood
2020-04-01,2020,flood,75,standard,flood
2020-04-01,2020,flood,75,standard,flood
2020-04-01,2020,flood,75,standard,flood
2020-04-01,2020,flood,75,standard,flood
2020-05-01,2020,flood,75,standard,flood
2020-05-01,2020,flood,75,standard,flood
2020-05-01,2020,flood,75,standard,flood
2020-05-01,2020,flood,75,standard,flood
2020-05-01,2020,flood,75,standard,flood
2020-06-01,2020,flood,75,standard,flood
2020-06-01,2020,flood,75,standard,flood
2020-06-01,2020,flood,75,standard,flood
2020-06-01,2020,flood,75,standard,flood
2020-07-01,2020,flood,75,standard,flood
2020-08-01,2020,flood,75,standard,flood
2021-04-01,2021,flood,75,standard,flood
2021-04-01,2021,flood,75,standard,flood
2021-04-01,2021,flood,75,standard,flood
2021-04-01,2021,crop_failure,90,standard,crop_failure
2021-04-01,2021,severe_stress,45,standard,severe_stress
2021-04-01,2021,crop_failure,90,standard,crop_failure
2021-04-01,2021,severe_stress,45,standard,severe_stress
2021-05-01,2021,crop_failure,90,standard,crop_failure
2021-05-01,2021,severe_stress,45,standard,severe_stress
2021-05-01,2021,flood,75,standard,flood
2021-06-01,2021,crop_failure,90,standard,crop_failure
2021-06-01,2021,severe_stress,45,standard,severe_stress
2021-06-01,2021,crop_failure,90,standard,crop_failure
2021-06-01,2021,severe_stress,45,standard,severe_stress
2021-06-01,2021,flood,75,standard,flood
2021-07-01,2021,crop_failure,90,standard,crop_failure
2021-07-01,2021,severe_stress,45,standard,severe_stress
2022-01-01,2022,flood,75,standard,flood
2022-01-01,2022,crop_failure,90,standard,crop_failure
2022-01-01,2022,flood,75,standard,flood
2022-02-01,2022,flood,75,standard,flood
2022-03-01,2022,flood,75,standard,flood
2022-04-01,2022,flood,75,standard,flood
2022-04-01,2022,flood,75,standard,flood
2022-05-01,2022,flood,75,standard,flood
2022-06-01,2022,crop_failure,90,standard,crop_failure
2022-06-01,2022,severe_stress,45,standard,severe_stress
2022-06-01,2022,flood,75,standard,flood
2022-07-01,2022,flood,75,standard,flood
2022-09-01,2022,crop_failure,90,standard,crop_failure
2022-09-01,2022,severe_stress,45,standard,severe_stress
2022-09-01,2022,crop_failure,90,standard,crop_failure
2022-10-01,2022,crop_failure,90,standard,crop_failure
2022-10-01,2022,severe_stress,45,standard,severe_stress
2022-10-01,2022,crop_failure,90,standard,crop_failure
2022-10-01,2022,severe_stress,45,standard,severe_stress
2022-11-01,2022,crop_failure,90,standard,crop_failure
2022-11-01,2022,severe_stress,45,standard,severe_stress
2022-11-01,2022,crop_failure,90,standard,crop_failure
2022-12-01,2022,flood,75,standard,flood
2023-03-01,2023,crop_failure,90,standard,crop_failure
2023-03-01,2023,severe_stress,45,standard,severe_stress
2023-03-01,2023,flood,75,standard,flood
2023-04-01,2023,flood,75,standard,flood
